,test_loss_dino,test_loss_yolo,train_loss_dino,train_loss_yolo
188,2.217894732952118,3.140419453382492,2.273884643207897,3.241458647178881
189,2.6011412143707275,3.1505081057548523,2.0287314942388823,3.250090476238366
190,3.165073961019516,3.157345324754715,2.051542928724578,3.3809736714218603
191,2.9428598284721375,3.5735160410404205,2.1479834823897392,3.134193788875233
192,2.322238951921463,3.656148135662079,2.0643284609823516,3.0829711610620674
193,2.0638892501592636,3.3564768731594086,2.2292097662434434,3.2718670801682905
194,3.0122264623641968,3.1670416593551636,2.085941838495659,3.238193027900927
195,2.9431414008140564,3.5313883423805237,1.9069515900178389,3.1650277267802847
196,3.1656548380851746,4.011090964078903,2.1740522131775366,3.36522473710956
197,2.0107695758342743,3.1421407759189606,2.378633257114526,3.3250755830244585
198,1.951894387602806,3.201954811811447,2.302203731103377,3.226793014641964
199,2.409639060497284,3.1992590129375458,2.05970248670289,3.067381237492417
200,2.7309023439884186,3.760929435491562,2.1905968405983667,3.055579322757143
201,2.383762449026108,3.279467433691025,2.165713415001378,3.282030387358232
202,2.3959505409002304,3.1338016390800476,2.1181841149474634,3.2039257685343423
203,2.612189382314682,3.4024746119976044,2.03220551664179,3.1059904315254907
204,2.8713722825050354,3.551324814558029,2.0782717285734233,3.1118375677050967
205,2.0293691903352737,3.388014703989029,2.437213771270983,3.1194974184036255
206,2.0573467910289764,3.350442349910736,2.346560405962395,3.200062520576246
207,2.2101950496435165,3.8528648912906647,2.2584265326008652,3.6003853407773105
208,2.87386691570282,3.5011240243911743,1.9178887714039197,3.1613752552957246
209,2.213552862405777,3.4846540987491608,2.0322302977244058,3.270747343699137
210,2.139017254114151,3.262928545475006,2.1695493640321675,3.1481371648383862
211,2.097344323992729,3.8749234080314636,2.1676051580544673,3.5751083836410986
212,2.0866549760103226,3.2073500752449036,2.4198473186203926,3.3436000130393286
213,2.0700949877500534,3.4158592224121094,2.244273966008967,3.0307216427542945
214,2.4342999160289764,3.2230547070503235,1.9769357478979863,3.0944272821599785
215,2.17241732776165,3.3396127820014954,2.360115697889617,2.9098042213555537
216,2.1068437099456787,3.096823662519455,2.397892410104925,3.2674002358407686
217,2.1407884061336517,3.316674053668976,2.316998698494651,3.0013423399491743
218,2.491821050643921,3.047957271337509,2.041279016119061,3.428756908936934
219,2.1516145169734955,3.377232998609543,2.3163193608775283,3.1966323563546846
220,2.0709819942712784,3.6179317235946655,2.332271449493639,2.952098138404615
221,3.1773818731307983,3.0930281579494476,2.009835022868532,3.388157519427213
222,2.0531453490257263,3.235500603914261,2.3419833327784683,3.131648128682917
223,3.250159442424774,3.273176223039627,2.1372649922515405,3.3305954066189853
224,2.1538515985012054,3.2357172667980194,2.0934194362524785,3.0539149154316294
225,2.541525214910507,3.250170648097992,2.1502826791821104,3.175132585294319
226,1.9460386782884598,3.359612762928009,2.3084542895808364,3.067702358419245
227,2.0773164480924606,3.0941587388515472,2.293170853094621,3.1190356196779194
228,2.6304022073745728,3.2360293567180634,1.944578727086385,3.173818978396329
229,2.5007523894309998,3.4633378982543945,1.897598866260413,2.909605777624882
230,2.013383209705353,3.76825875043869,2.265751007831458,3.315117987719449
231,2.9506731629371643,3.234264314174652,2.0894292231762046,3.2713505282546533
232,2.017051473259926,3.420385479927063,2.3217985268795127,3.0570002685893667
233,2.160280764102936,3.3887621760368347,2.27890804680911,2.9589834863489326
